#sample	lat	lon	miosture	EC	salt	pH	TC	TN	TC/TN	NH4_N	NO3_N	TP	AP	TK	AK
"N4_3"	48.9622222222222	125.6775	0.346411483	91.4	1	6.08	30.00089718	2.662940818	11.26607733	44.67642753	2.448023426	0.945588235	19.37	22.74632353	247.5
"N5_1"	48.7686111111111	125.531666666667	0.351409978	114.6	1.2	5.74	56.40207244	4.669567866	12.07864926	38.2367893	3.08361204	1.140643803	12.835	19.24638989	216.1
"N5_2"	48.7686111111111	125.531666666667	0.408350305	131.2	1.4	5.63	88.42056426	7.659431068	11.54401201	43.26884682	3.211359725	1.138826114	13.94	19.60781544	201.2
"N5_3"	48.7686111111111	125.531666666667	0.369902913	115.4	1.2	5.57	59.42008201	5.045219505	11.77750184	40.62865948	3.01540832	1.254462009	19.625	18.23686894	255.2
"N6_1"	48.8933333333333	125.093611111111	0.349137931	102.3	1	5.68	50.63527	4.70499	10.76203563	38.41059603	3.533774834	1.314989518	5.885	19.63443396	188.75
"N6_2"	48.8933333333333	125.093611111111	0.376439327	86.1	0.8	5.47	63.57191	5.82324	10.91693112	44.58267045	3.047017045	1.305674847	6.055	19.99079755	198.7
"N6_3"	48.8933333333333	125.093611111111	0.389645777	94.5	1	5.27	66.62915	6.15476	10.82562927	40.30446429	4.751339286	1.577137002	5.585	17.4912178	170.25
"N7_1"	48.7877777777778	126.335833333333	0.438508065	73.5	0.6	5.38	65.78763	5.55357	11.84600716	44.52423698	4.096229803	1.522156762	6.685	18.95171619	181.9
"N7_2"	48.7877777777778	126.335833333333	0.435193945	73.3	0.8	5.27	54.87971	4.6412	11.82446566	45.85644891	2.655778894	1.436777077	14.45	19.21990011	182
"N7_3"	48.7877777777778	126.335833333333	-4.463157895	79.7	0.8	5.46	58.92151	4.96546	11.86627422	44.754	0.329479769	1.546900489	12.28	19.52487765	156.25
"N8_1"	48.7744444444444	126.5825	0.336057201	82.1	0.8	5.62	30.21	2.48497	12.15708842	39.91307692	2.108615385	1.180650236	16.905	20.36575773	218.35
"N8_2"	48.7744444444444	126.5825	0.306485356	74.8	0.8	5.48	32.54	2.49256	13.05485124	36.04826546	2.018702866	1.034236153	14.93	20.62918442	195.65
